First_name,Last_name,Team,Nation,Position,Year,Gms,Rating
Nikita,Kucherov,TBL,RU,RW,2019,82,0.959976314
Connor,McDavid,EDM,CA,C,2019,78,0.958756043
Sidney,Crosby,PIT,CA,C,2019,79,0.952331934
Patrice,Bergeron,BOS,CA,C,2019,65,0.948457805
Aleksander,Barkov,FLA,FI,C,2019,82,0.944991921
Brad,Marchand,BOS,CA,LW,2019,79,0.942005062
Leon,Draisaitl,EDM,DE,C,2019,82,0.941839859
Patrick,Kane,CHI,US,RW,2019,81,0.939939648
Mark,Giordano,CGY,CA,D,2019,78,0.938225303
Taylor,Hall,NJD,CA,LW,2019,33,0.935793793
David,Pastrnak,BOS,CZ,RW,2019,66,0.935500836
Brent,Burns,SJS,CA,D,2019,82,0.934921027
Jonathan,Huberdeau,FLA,CA,C,2019,82,0.934392887
Nathan,MacKinnon,COL,CA,C,2019,82,0.934290106
Johnny,Gaudreau,CGY,US,LW,2019,82,0.93425641
Mikko,Rantanen,COL,FI,RW,2019,74,0.933745597
Steven,Stamkos,TBL,CA,C,2019,82,0.932239803
John,Tavares,TOR,CA,C,2019,82,0.931625432
Brayden,Point,TBL,CA,C,2019,79,0.930209822
Mitch,Marner,TOR,CA,C,2019,82,0.929477545
Mark,Stone,TOT,CA,RW,2019,77,0.928569383
Ryan,O'Reilly,STL,CA,C,2019,82,0.92829683
Sean,Couturier,PHI,US,C,2019,80,0.927685437
Kris,Letang,PIT,CA,D,2019,65,0.9270157
Alex,Ovechkin,WSH,RU,LW,2019,81,0.926679038
Blake,Wheeler,WPG,US,RW,2019,82,0.92667553
Dylan,Larkin,DET,US,C,2019,76,0.925695264
Erik,Karlsson,SJS,SE,D,2019,53,0.925619436
Sebastian,Aho,CAR,FI,RW,2019,82,0.925027559
Claude,Giroux,PHI,CA,C,2019,82,0.923587467
Auston,Matthews,TOR,US,C,2019,68,0.922652796
Tomas,Hertl,SJS,CZ,C,2019,77,0.92230686
Gabriel,Landeskog,COL,SE,LW,2019,73,0.92149116
Sean,Monahan,CGY,CA,C,2019,78,0.920639426
Elias,Lindholm,CGY,SE,C,2019,81,0.920294179
Jack,Eichel,BUF,US,C,2019,77,0.918100195
Matthew,Tkachuk,CGY,US,LW,2019,80,0.917768603
Alexander,Radulov,DAL,RU,RW,2019,70,0.915767317
Jonathan,Toews,CHI,CA,C,2019,82,0.91482749
Tyler,Seguin,DAL,CA,C,2019,82,0.914760464
Mark,Scheifele,WPG,CA,C,2019,82,0.913724395
John,Carlson,WSH,US,D,2019,80,0.913668395
Mika,Zibanejad,NYR,SE,C,2019,82,0.912996659
Paul,Stastny,VEG,CA,C,2019,50,0.912153471
Evgeni,Malkin,PIT,RU,C,2019,68,0.910515857
Artemi,Panarin,CBJ,RU,LW,2019,79,0.909784533
Joe,Pavelski,SJS,US,C,2019,75,0.909353039
Jake,Guentzel,PIT,US,C,2019,82,0.908762461
Vladimir,Tarasenko,STL,RU,RW,2019,76,0.908223393
Teuvo,Teravainen,CAR,FI,C,2019,82,0.907292005
Timo,Meier,SJS,CH,RW,2019,78,0.906244078
Morgan,Rielly,TOR,CA,D,2019,82,0.905105677
Logan,Couture,SJS,CA,C,2019,81,0.90448845
Dustin,Byfuglien,WPG,US,D,2019,42,0.903637167
Mats,Zuccarello,TOT,NO,LW,2019,48,0.901902405
Matt,Duchene,TOT,CA,C,2019,73,0.900752918
Nicklas,Backstrom,WSH,SE,C,2019,80,0.900690692
Thomas,Chabot,OTT,CA,D,2019,70,0.898373722
Tomas,Tatar,MTL,CS,C,2019,80,0.897814744
David,Krejci,BOS,CS,C,2019,81,0.896646306
Victor,Hedman,TBL,SE,D,2019,70,0.896478153
Mathew,Dumba,MIN,CA,D,2019,32,0.894987491
Jordan,Staal,CAR,CA,C,2019,50,0.894757555
Evander,Kane,SJS,CA,LW,2019,75,0.894552784
Alexander,Edler,VAN,SE,D,2019,56,0.893949716
Zach,Parise,MIN,US,LW,2019,74,0.893651095
Ryan,Getzlaf,ANA,CA,C,2019,67,0.893571844
Bo,Horvat,VAN,CA,C,2019,82,0.892974057
Phillip,Danault,MTL,CA,LW,2019,81,0.892838484
Anze,Kopitar,LAK,SI,C,2019,81,0.89184742
Torey,Krug,BOS,US,D,2019,64,0.891106367
Roman,Josi,NSH,CH,D,2019,82,0.890946606
Brendan,Gallagher,MTL,CA,RW,2019,82,0.890440354
Brayden,Schenn,STL,CA,C,2019,72,0.890381651
Evgenii,Dadonov,FLA,RU,RW,2019,82,0.889708373
Reilly,Smith,VEG,CA,RW,2019,74,0.888488167
Ryan,Johansen,NSH,CA,C,2019,80,0.888331569
Filip,Forsberg,NSH,SE,C,2019,64,0.888204439
Phil,Kessel,PIT,US,RW,2019,82,0.887264098
Max,Domi,MTL,CA,LW,2019,82,0.887110867
T.J.,Oshie,WSH,US,C,2019,69,0.886955003
Elias,Pettersson,VAN,SE,C,2019,71,0.885645095
Shea,Weber,MTL,CA,D,2019,58,0.88559262
John,Klingberg,DAL,SE,D,2019,64,0.885374565
Alex,Pietrangelo,STL,CA,D,2019,71,0.885244389
Alex,DeBrincat,CHI,US,RW,2019,82,0.88457967
Seth,Jones,CBJ,US,D,2019,75,0.884557619
Keith,Yandle,FLA,US,D,2019,82,0.883584306
David,Perron,STL,CA,LW,2019,57,0.883527748
Andrew,Shaw,MTL,CA,C,2019,63,0.883444351
Viktor,Arvidsson,NSH,SE,LW,2019,58,0.882942374
Kevin,Hayes,TOT,US,RW,2019,71,0.882569675
Jakub,Voracek,PHI,CS,RW,2019,78,0.881901462
William,Karlsson,VEG,SE,C,2019,82,0.881355989
Tyson,Barrie,COL,CA,D,2019,78,0.88115107
Ryan,Nugent-Hopkins,EDM,CA,C,2019,82,0.881049488
Mike,Hoffman,FLA,CA,C,2019,82,0.880916634
Ryan,Suter,MIN,US,D,2019,82,0.880307505
Alex,Tuch,VEG,US,RW,2019,74,0.878640964
Cam,Atkinson,CBJ,US,RW,2019,80,0.878478611
Erik,Gustafsson,CHI,SE,D,2019,79,0.877905184
Evgeny,Kuznetsov,WSH,RU,C,2019,76,0.877837827
Ondrej,Kase,ANA,CZ,RW,2019,30,0.877634918
Jeff,Petry,MTL,US,D,2019,82,0.876548402
Jacob,Trouba,WPG,US,D,2019,82,0.87547367
Mattias,Ekholm,NSH,SE,D,2019,80,0.875165298
Vincent,Trocheck,FLA,US,C,2019,55,0.874917351
Dustin,Brown,LAK,US,RW,2019,72,0.874738843
Sam,Reinhart,BUF,CA,C,2019,82,0.874289499
Charlie,McAvoy,BOS,US,D,2019,54,0.873134593
Jared,Spurgeon,MIN,CA,D,2019,82,0.872968066
Gustav,Nyquist,TOT,SE,RW,2019,81,0.872375941
Justin,Williams,CAR,CA,RW,2019,82,0.872240912
Kyle,Connor,WPG,US,LW,2019,82,0.871592693
Jon,Marchessault,VEG,CA,C,2019,82,0.870765111
Rasmus,Ristolainen,BUF,FI,D,2019,78,0.870022601
Mikael,Granlund,TOT,FI,C,2019,79,0.868486347
Anthony,Mantha,DET,CA,RW,2019,67,0.868316884
Joe,Thornton,SJS,CA,C,2019,73,0.868184564
Brady,Tkachuk,OTT,US,LW,2019,71,0.868137906
Brock,Boeser,VAN,US,RW,2019,69,0.868003965
Tom,Wilson,WSH,CA,RW,2019,63,0.867475673
Jeff,Skinner,BUF,CA,C,2019,82,0.866594304
Chris,Kreider,NYR,US,C,2019,79,0.866549564
Carl,Soderberg,COL,SE,C,2019,82,0.866116203
Travis,Zajac,NJD,CA,C,2019,80,0.865433194
Eric,Staal,MIN,CA,C,2019,81,0.865275242
Ryan,McDonagh,TBL,US,D,2019,82,0.864876352
Ryan,Ellis,NSH,CA,D,2019,82,0.86253034
Nino,Niederreiter,TOT,CH,RW,2019,82,0.862243532
Mikko,Koivu,MIN,FI,C,2019,48,0.86193451
Drew,Doughty,LAK,CA,D,2019,82,0.861920019
Dougie,Hamilton,CAR,CA,D,2019,82,0.861503339
Jamie,Benn,DAL,CA,LW,2019,78,0.860861406
Max,Pacioretty,VEG,US,LW,2019,66,0.859884344
Nate,Schmidt,VEG,US,D,2019,61,0.85951362
Josh,Morrissey,WPG,CA,D,2019,59,0.858934282
Mathew,Barzal,NYI,CA,C,2019,82,0.858479471
Shea,Theodore,VEG,CA,D,2019,79,0.858096087
Josh,Anderson,CBJ,CA,RW,2019,82,0.857046035
Oliver,Ekman-Larsson,ARI,SE,D,2019,81,0.856529104
Mike,Green,DET,CA,D,2019,43,0.85634724
Mikael,Backlund,CGY,SE,C,2019,77,0.856092983
J.T.,Miller,TBL,US,C,2019,75,0.855630546
Pierre-Luc,Dubois,CBJ,CA,LW,2019,82,0.855593972
Jake,Muzzin,TOT,CA,D,2019,80,0.855416881
Ryan,Murray,CBJ,CA,D,2019,56,0.855344081
Nico,Hischier,NJD,CH,C,2019,69,0.85507914
Kyle,Palmieri,NJD,US,RW,2019,74,0.85429709
Erik,Haula,VEG,FI,LW,2019,15,0.853922724
Anders,Lee,NYI,US,C,2019,82,0.852362907
Zach,Hyman,TOR,CA,C,2019,71,0.851418066
Brandon,Pirri,VEG,CA,C,2019,31,0.851300754
P.K.,Subban,NSH,CA,D,2019,63,0.850344393
Kevin,Labanc,SJS,US,RW,2019,82,0.849902199
Boone,Jenner,CBJ,CA,C,2019,77,0.849647932
Brock,Nelson,NYI,US,C,2019,82,0.849520508
Tyler,Bertuzzi,DET,CA,LW,2019,73,0.849028646
Ryan,Pulock,NYI,CA,D,2019,82,0.848304801
Vinnie,Hinostroza,ARI,US,C,2019,72,0.848209723
Jonathan,Drouin,MTL,CA,LW,2019,81,0.848167162
Rickard,Rakell,ANA,SE,RW,2019,69,0.847696603
Jakob,Silfverberg,ANA,SE,LW,2019,73,0.847403171
Patric,Hornqvist,PIT,SE,RW,2019,69,0.846533786
Nazem,Kadri,TOR,CA,C,2019,73,0.84625617
Darnell,Nurse,EDM,CA,D,2019,82,0.846088892
Yanni,Gourde,TBL,CA,C,2019,80,0.845743496
Jaden,Schwartz,STL,CA,C,2019,69,0.845244169
Colin,Miller,VEG,CA,D,2019,65,0.845215553
Justin,Faulk,CAR,US,D,2019,82,0.844952932
Dylan,Strome,TOT,CA,C,2019,78,0.844478285
Anthony,Cirelli,TBL,CA,C,2019,82,0.844256379
Jaccob,Slavin,CAR,US,D,2019,82,0.843713983
Micheal,Ferland,CAR,CA,LW,2019,71,0.843669484
Zach,Werenski,CBJ,US,D,2019,82,0.843234388
Jake,Debrusk,BOS,CA,LW,2019,68,0.843216219
James,van Riemsdyk,PHI,US,LW,2019,66,0.842973789
Brett,Pesce,CAR,US,D,2019,73,0.842815751
Ryan,Dzingel,TOT,US,C,2019,78,0.842545723
Rasmus,Dahlin,BUF,SE,D,2019,82,0.841561968
Aaron,Ekblad,FLA,CA,D,2019,82,0.841342155
Jason,Zucker,MIN,US,LW,2019,81,0.841025847
Jesper,Bratt,NJD,SE,LW,2019,51,0.840506783
Brandon,Saad,CHI,US,LW,2019,80,0.840451626
Oscar,Klefbom,EDM,SE,D,2019,61,0.840263598
Blake,Coleman,NJD,US,C,2019,78,0.840206686
Nikolaj,Ehlers,WPG,DK,LW,2019,62,0.839134391
Nick,Foligno,CBJ,US,LW,2019,73,0.838726746
Hampus,Lindholm,ANA,SE,D,2019,76,0.838485639
Josh,Bailey,NYI,CA,C,2019,82,0.838022481
Jake,Gardiner,TOR,US,D,2019,62,0.837987295
Andreas,Johnsson,TOR,SE,LW,2019,73,0.837758777
Paul,Byron,MTL,CA,C,2019,56,0.837727315
Colton,Parayko,STL,CA,D,2019,80,0.837098763
Andreas,Athanasiou,DET,CA,C,2019,76,0.836865738
T.J.,Brodie,CGY,CA,D,2019,79,0.8349262
Tyler,Bozak,STL,CA,C,2019,72,0.834828079
Kasperi,Kapanen,TOR,FI,RW,2019,78,0.833785016
Andrei,Svechnikov,CAR,RU,RW,2019,82,0.832762141
Colton,Sissons,NSH,CA,C,2019,75,0.832536296
Alex,Killorn,TBL,CA,C,2019,82,0.83223294
Colin,White,OTT,US,C,2019,71,0.83203214
Michael,Frolik,CGY,CS,LW,2019,65,0.831808688
Antoine,Roussel,VAN,FR,LW,2019,65,0.830947488
Casey,Cizikas,NYI,CA,C,2019,73,0.830933432
Filip,Hronek,DET,CZ,D,2019,46,0.829978972
Anthony,DeAngelo,NYR,US,D,2019,61,0.829232159
Brad,Richardson,ARI,CA,C,2019,66,0.828994085
Esa,Lindell,DAL,FI,D,2019,82,0.82797604
Frank,Vatrano,FLA,US,LW,2019,81,0.827885989
Pavel,Buchnevich,NYR,RU,LW,2019,64,0.827870611
Derek,Ryan,CGY,US,C,2019,81,0.8272663
Derek,Stepan,ARI,US,C,2019,72,0.8264956
Danny,DeKeyser,DET,US,D,2019,52,0.826040006
Damon,Severson,NJD,CA,D,2019,82,0.825895614
Travis,Konecny,PHI,CA,C,2019,82,0.825516087
Alex,Biega,VAN,CA,D,2019,41,0.825426539
Brandon,Montour,TOT,CA,D,2019,82,0.825272219
Brenden,Dillon,SJS,CA,D,2019,82,0.825139759
Noah,Hanifin,CGY,US,D,2019,80,0.825094605
Brian,Dumoulin,PIT,US,D,2019,76,0.824945366
Cody,Eakin,VEG,CA,C,2019,78,0.824689442
Austin,Watson,NSH,US,LW,2019,37,0.824164839
Duncan,Keith,CHI,CA,D,2019,82,0.823319088
Brandon,Tanev,WPG,CA,LW,2019,80,0.823317989
Alex,Steen,STL,CA,C,2019,65,0.823127657
Zach,Aston-Reese,PIT,US,C,2019,43,0.822897631
Jakub,Vrana,WSH,CZ,LW,2019,82,0.822756793
Chris,Tierney,OTT,CA,C,2019,81,0.822709946
Alexander,Kerfoot,COL,CA,C,2019,78,0.822676229
Adam,Henrique,ANA,CA,C,2019,82,0.822602246
Tyler,Johnson,TBL,US,C,2019,80,0.822584422
Vince,Dunn,STL,CA,D,2019,78,0.822404503
Adam,Lowry,WPG,US,LW,2019,78,0.822395405
Richard,Panik,ARI,CS,RW,2019,75,0.822376532
Brett,Connolly,WSH,CA,RW,2019,81,0.822149951
Bryan,Rust,PIT,US,RW,2019,72,0.821306319
William,Nylander,TOR,CA,C,2019,54,0.820822432
Nick,Ritchie,ANA,CA,LW,2019,60,0.819457887
Patrik,Laine,WPG,FI,RW,2019,82,0.81873751
J.T.,Compher,COL,US,LW,2019,66,0.818341284
Lars,Eller,WSH,DK,C,2019,81,0.81744934
Mikhail,Sergachev,TBL,RU,D,2019,75,0.816029243
Travis,Sanheim,PHI,CA,D,2019,82,0.81575766
Oskar,Sundqvist,STL,SE,C,2019,74,0.814865444
Erik,Cernak,TBL,SK,D,2019,58,0.814286995
Karson,Kuhlman,BOS,US,C,2019,11,0.814204586
Marcus,Johansson,TOT,SE,C,2019,58,0.814160548
Jakob,Chychrun,ARI,US,D,2019,53,0.813965521
Jordan,Martinook,CAR,CA,LW,2019,82,0.813662597
Travis,Hamonic,CGY,CA,D,2019,69,0.813222703
Cal,Clutterbuck,NYI,CA,RW,2019,73,0.813141383
Carl,Grundstrom,LAK,SE,RW,2019,15,0.813059037
Shayne,Gostisbehere,PHI,US,D,2019,78,0.812765043
Craig,Smith,NSH,US,C,2019,76,0.812331489
Nick,Schmaltz,TOT,US,C,2019,40,0.812193259
Bobby,Ryan,OTT,US,LW,2019,78,0.811942654
Nick,Bonino,NSH,US,C,2019,81,0.811862028
Miro,Heiskanen,DAL,FI,D,2019,82,0.811450439
Alex,Goligoski,ARI,US,D,2019,76,0.8112975
Tyler,Toffoli,LAK,CA,C,2019,82,0.81054865
Justin,Schultz,PIT,CA,D,2019,29,0.809951637
Lucas,Wallmark,CAR,SE,C,2019,81,0.809720138
Alex,Chiasson,EDM,CA,RW,2019,73,0.809131356
Clayton,Keller,ARI,US,C,2019,82,0.809059925
Brett,Kulak,MTL,CA,D,2019,57,0.80894213
Nick,Bjugstad,TOT,US,C,2019,64,0.808851386
Joel,Armia,MTL,FI,RW,2019,57,0.808713186
Ondrej,Palat,TBL,CS,LW,2019,64,0.808144358
Joonas,Donskoi,SJS,FI,RW,2019,80,0.807986528
Alex,Galchenyuk,ARI,US,C,2019,72,0.806999015
Zdeno,Chara,BOS,CS,D,2019,62,0.806739422
Adam,Pelech,NYI,CA,D,2019,78,0.806515213
Radko,Gudas,PHI,CS,D,2019,77,0.806217128
Tyler,Myers,WPG,US,D,2019,80,0.806016984
Dmitry,Orlov,WSH,RU,D,2019,82,0.805485005
Brayden,McNabb,VEG,CA,D,2019,81,0.805104043
Michal,Kempny,WSH,CS,D,2019,71,0.804758941
Ivan,Provorov,PHI,RU,D,2019,82,0.804633072
Bryan,Little,WPG,CA,RW,2019,82,0.804463515
Charlie,Coyle,TOT,US,C,2019,81,0.804069864
Vladislav,Namestnikov,NYR,RU,C,2019,78,0.803871077
Mike,Matheson,FLA,CA,D,2019,75,0.803624447
Erik,Johnson,COL,US,D,2019,80,0.803596809
Cody,Ceci,OTT,CA,D,2019,74,0.803176407
Jonathon,Merrill,VEG,US,D,2019,57,0.803140351
Dominik,Simon,PIT,CZ,C,2019,71,0.802643838
Carl,Gunnarsson,STL,SE,D,2019,25,0.802502947
Matt,Calvert,COL,CA,LW,2019,82,0.802324459
Matthew,Nieto,COL,US,LW,2019,64,0.802272589
Brady,Skjei,NYR,US,D,2019,78,0.802126989
Nick,Holden,VEG,CA,D,2019,61,0.801949218
Anton,Stralman,TBL,SE,D,2019,47,0.80193312
David,Savard,CBJ,CA,D,2019,82,0.801775201
Danton,Heinen,BOS,CA,C,2019,77,0.801553283
Jordan,Eberle,NYI,CA,RW,2019,78,0.801439822
Artturi,Lehkonen,MTL,FI,LW,2019,82,0.801349293
Jordie,Benn,MTL,CA,D,2019,81,0.800674469
Matt,Niskanen,WSH,US,D,2019,80,0.800209372
Radek,Faksa,DAL,CZ,C,2019,81,0.800085237
Evan,Rodrigues,BUF,CA,C,2019,74,0.800015958
Sami,Vatanen,NJD,FI,D,2019,50,0.799658297
Jesperi,Kotkaniemi,MTL,FI,C,2019,79,0.799425723
Kevin,Shattenkirk,NYR,US,D,2019,73,0.799386022
Roope,Hintz,DAL,FI,LW,2019,58,0.799028045
Frans,Nielsen,DET,DK,C,2019,72,0.79880032
Oskar,Lindblom,PHI,SE,LW,2019,81,0.798612628
Neal,Pionk,NYR,US,D,2019,73,0.79844111
Jared,McCann,TOT,CA,C,2019,78,0.7984335
Alec,Martinez,LAK,US,D,2019,60,0.798342263
Sven,Baertschi,VAN,CH,LW,2019,26,0.797673802
Michael,Grabner,ARI,AT,RW,2019,41,0.79753089
Sam,Gagner,TOT,CA,C,2019,32,0.797461397
Troy,Stecher,VAN,CA,D,2019,78,0.797026458
Marcus,Foligno,MIN,US,LW,2019,82,0.796646224
Sean,Kuraly,BOS,US,C,2019,71,0.796624123
Andy,Greene,NJD,US,D,2019,82,0.796369243
Zack,Smith,OTT,CA,C,2019,70,0.796044106
Jeff,Carter,LAK,CA,C,2019,76,0.795891787
Marc-Edouard,Vlasic,SJS,CA,D,2019,72,0.795851315
Pat,Maroon,STL,US,LW,2019,74,0.795440797
Ilya,Kovalchuk,LAK,RU,LW,2019,64,0.795327955
Alex,Iafallo,LAK,US,C,2019,82,0.795188653
Drake,Caggiula,TOT,CA,LW,2019,55,0.795165747
Kenny,Agostino,TOT,US,LW,2019,63,0.795002274
Adam,Larsson,EDM,SE,D,2019,82,0.794154908
Zach,Bogosian,BUF,US,D,2019,65,0.794133817
Cam,Fowler,ANA,CA,D,2019,59,0.793970363
Patrick,Marleau,TOR,CA,C,2019,82,0.79390794
Oliver,Bjorkstrand,CBJ,DK,RW,2019,77,0.793834463
Mathieu,Perreault,WPG,CA,C,2019,82,0.793579371
Robert,Thomas,STL,CA,C,2019,70,0.793431862
Sam,Bennett,CGY,CA,C,2019,71,0.792714922
Devon,Toews,NYI,CA,D,2019,48,0.792611278
Andrew,Copp,WPG,US,C,2019,69,0.792359148
Zemgus,Girgensons,BUF,LV,C,2019,72,0.791903856
Scott,Laughton,PHI,CA,C,2019,82,0.791642128
Brent,Seabrook,CHI,CA,D,2019,78,0.791495022
Ryan,Carpenter,VEG,US,C,2019,68,0.790802129
Miles,Wood,NJD,US,LW,2019,63,0.7905601
Chris,Wagner,BOS,US,C,2019,76,0.790536921
David,Backes,BOS,US,C,2019,70,0.790416072
Calvin,de Haan,CAR,CA,D,2019,74,0.789830207
Mark,Jankowski,CGY,CA,C,2019,79,0.78905679
Jonas,Brodin,MIN,SE,D,2019,82,0.788971528
Jean-Gabriel,Pageau,OTT,CA,C,2019,39,0.788829939
Will,Butcher,NJD,US,D,2019,78,0.788784525
Tomas,Hyka,VEG,CZ,RW,2019,17,0.788717325
Jimmy,Vesey,NYR,US,LW,2019,81,0.788676948
Jordan,Weal,TOT,CA,C,2019,63,0.787916597
Teddy,Blueger,PIT,LV,C,2019,28,0.787686903
Jason,Dickinson,DAL,CA,C,2019,67,0.787461977
Jordan,Nolan,STL,CA,C,2019,14,0.787300798
Marcus,Pettersson,TOT,SE,D,2019,84,0.786158287
Josh,Manson,ANA,US,D,2019,74,0.786147551
Nolan,Patrick,PHI,CA,C,2019,72,0.785779867
Connor,Murphy,CHI,US,D,2019,52,0.785674574
Carter,Rowney,ANA,CA,RW,2019,62,0.785426484
Michael,Stone,CGY,CA,D,2019,14,0.78531676
Ian,Cole,COL,US,D,2019,71,0.785312901
Christian,Wolanin,OTT,CA,D,2019,30,0.785226652
Zach,Sanford,STL,US,LW,2019,60,0.784909932
Jake,Virtanen,VAN,CA,RW,2019,70,0.78488394
Kevin,Fiala,TOT,CH,LW,2019,83,0.784849696
Ryan,Reaves,VEG,CA,RW,2019,80,0.784782542
Ron,Hainsey,TOR,US,D,2019,81,0.784718167
Colin,Wilson,COL,US,C,2019,65,0.784665166
Mathieu,Joseph,TBL,CA,RW,2019,70,0.784640386
Jason,Pominville,BUF,CA,RW,2019,73,0.784270566
Thomas,Vanek,DET,AT,LW,2019,64,0.784048317
William,Carrier,VEG,CA,LW,2019,54,0.783890071
Dan,Girardi,TBL,CA,D,2019,62,0.783870235
Artem,Anisimov,CHI,RU,C,2019,78,0.783607254
Jake,McCabe,BUF,US,D,2019,59,0.782504227
Devin,Shore,TOT,CA,C,2019,76,0.782279578
Kyle,Clifford,LAK,CA,LW,2019,72,0.781976516
Scott,Mayfield,NYI,US,D,2019,79,0.781918929
Ryan,Strome,TOT,CA,C,2019,81,0.781763663
Dominik,Kahun,CHI,CZ,C,2019,82,0.781746699
